titulo,categoria,data,n_palavras,classe_real,previsao_regressao_logistica,previsao_random_forest,acertou_lr,acertou_rf,classe_real_label
"

Bolsonaro vai a orfanato e pergunta como foi o Dia dos Pais #boato 
",política,2021-08-10,39.0,0,0,0,True,True,Fake
Brasil registra 10.278 casos confirmados de coronavírus e 432 mortes,saúde,2020-04-04,112.0,1,1,1,True,True,Real
"

Carol Solberg é patrocinada pelo Banco do Brasil, ganha Bolsa-Atleta e perdeu patrocínio do Betmotion #boato 
",entretenimento,,142.0,0,0,0,True,True,Fake
Fachin quer mudar de turma no STF; relatoria da Lava Jato fica incerta  ,política,2021-04-15,73.0,1,1,1,True,True,Real
Idoso com suspeita de covid-19 foge de hospital e morre ao cair de janela  ,saúde,2020-06-21,103.0,1,1,1,True,True,Real
Estudo aponta 3 tipos do novo coronavírus  ,saúde,2020-04-11,108.0,1,0,1,False,True,Real
CNJ diz que recebeu 99 sugestões para implementação do juiz de garantias,política,2020-01-13,72.0,1,1,1,True,True,Real
EUA registram recorde de 4.470 mortes por covid-19 em um dia  ,saúde,2021-01-13,42.0,1,1,1,True,True,Real
Orçamento de 2021 vira 'salve-se quem puder'  ,política,2020-08-18,186.0,1,1,1,True,True,Real
"Butantan enviará resultados de testes da CoronaVac à Anvisa na 2ª, diz Doria  ",política,2020-10-15,102.0,1,1,1,True,True,Real
"Bolsonaro não suspendeu implantação da placa do Mercosul, mas pediu estudo  ",mundo,2019-03-02,73.0,0,0,0,True,True,Fake
"

Argentina decretou o confisco de propriedades privadas pelo governo comunista #boato 
",mundo,2020-06-14,46.0,0,0,0,True,True,Fake
"

Trump quer investir R$ 1 trilhão no Brasil por causa de Bolsonaro #boato 
",política,2018-12-08,24.0,0,0,0,True,True,Fake
"

Globo usou imagens da tragédia de Lampedusa em 2013 como se fossem de Bergamo em 2020 #boato 
",brasil,2020-05-12,20.0,0,0,0,True,True,Fake
Bolsonaro ironiza a imprensa sobre coronavírus: 'O que estão fazendo aqui?'  ,saúde,2020-03-26,55.0,1,1,1,True,True,Real
"
  Luciano Hang, dono da Havan, não havia doado 200 cilindros de oxigênio a Manaus até 25 de janeiro",brasil,2021-01-25,83.0,0,0,0,True,True,Fake
"
  A eficácia da ivermectina contra a covid-19 ainda está em estudo",brasil,2020-12-31,84.0,0,0,0,True,True,Fake
"SP: comércio reabre, estoura horário e antecipa pico em trens da CPTM  ",saúde,2020-06-10,104.0,1,1,1,True,True,Real
É #FAKE que rede de hipermercados Makro tenha fechado lojas no Rio por conta da crise do coronavírus,entretenimento,2020-05-15,71.0,0,0,0,True,True,Fake
"Em Santos, hospitais já trocam insumos entre si para driblar colapso  ",saúde,2021-04-09,102.0,1,1,1,True,True,Real
"
  A enfermeira que desmaiou nos EUA após receber uma vacina contra a covid-19 não faleceu",saúde,2020-12-21,75.0,0,0,0,True,True,Fake
Post engana ao afirmar que empresas não exigem vacinação e que CEO da Pfizer não se imunizou,saúde,2021-09-06,39.0,0,0,0,True,True,Fake
"

2º lote do programa Vale Gás foi liberado e lista para consulta está em site no WhatsApp #boato 
",entretenimento,2020-07-24,35.0,0,0,0,True,True,Fake
"'Perder Mandetta seria um desastre para o Brasil', afirma João Doria  ",saúde,2020-04-01,122.0,1,1,1,True,True,Real
"Com atenções na CPI, Câmara pode 'passar boiada' no licenciamento ambiental  ",política,2021-05-11,125.0,1,1,1,True,True,Real
"

Pauta da Globo para Covid é revelada por apresentador demitido #boato 
",saúde,2021-04-24,174.0,0,1,1,False,False,Fake
É #FAKE que infectologistas de todo o país foram obrigados a assinar documento contra tratamento precoce para Covid-19,saúde,2021-03-22,97.0,0,0,0,True,True,Fake
É falso que governo Bolsonaro tenha feito o Nordeste colher trigo pela primeira vez,política,2021-05-06,18.0,0,0,0,True,True,Fake
,brasil,2019-01-14,64.0,0,0,0,True,True,Fake
"2020 será 3º ano mais quente; ONU diz que mundo caminha para ""suicídio""  ",política,2020-12-02,88.0,1,1,1,True,True,Real
"

Lei que obriga uso de máscaras dentro de casa é aprovada pelo Congresso #boato 
",política,2020-06-11,26.0,0,0,0,True,True,Fake
"Covid-19: Emílio Ribas lota UTI, e São Paulo prevê caos para maio  ",saúde,2020-04-16,34.0,1,1,1,True,True,Real
"Às vésperas do Carnaval, SP registra maior média de mortes desde agosto  ",saúde,2021-02-12,97.0,1,1,1,True,True,Real
"

Jornal O Globo faliu e parque gráfico foi entregue à Prefeitura de Duque de Caxias #boato 
",política,2021-02-16,50.0,0,0,0,True,True,Fake
Coronavírus: o hospital russo completamente isolado por surto de covid-19  ,saúde,2020-06-02,74.0,1,1,1,True,True,Real
STF anula decisões de Curitiba contra Mantega e manda ação para Brasília  ,política,2021-04-20,55.0,1,1,1,True,True,Real
"Emendas, cargos e ministérios: as promessas dos candidatos à presidência da Câmara  ",política,2020-12-31,102.0,1,1,1,True,True,Real
Mandetta critica uso político da cloroquina e afaga Bolsonaro  ,saúde,2020-04-08,32.0,1,1,1,True,True,Real
Inmet alerta sobre risco de novos deslizamentos de terra em Minas e Espírito Santo devido à chuva,política,2020-01-25,105.0,1,1,1,True,True,Real
É #FAKE que vídeo mostre fiscais da Prefeitura de São Paulo sendo agredidos por ambulantes em meio à pandemia de Covid-19,política,2020-05-11,83.0,0,0,0,True,True,Fake
Michelle Bolsonaro perde processo para IstoÉ e terá de pagar R$ 15 mil  ,política,2021-05-17,53.0,1,1,1,True,True,Real
Rocinha completa mais de uma semana sem água em meio à pandemia do coronavírus  ,saúde,2020-07-23,23.0,1,1,1,True,True,Real
"'Semana Brasil' será em setembro para impulsionar economia, apesar da pandemia  ",saúde,2020-08-04,242.0,1,1,1,True,True,Real
João Santana: 'Lula queria ser candidato em 2014 e desestabilizava Dilma'  ,política,2020-10-26,69.0,1,0,0,False,False,Real
"
  Ex-ministro José Dirceu não publicou mensagem sobre caçar “fascistas da direita”",brasil,2021-01-15,93.0,0,0,0,True,True,Fake
É #FAKE que voluntária que tomou CoronaVac tenha sido entubada em Barretos após choque anafilático,saúde,2020-10-19,133.0,0,0,0,True,True,Fake
Covid-19: Ministro da Saúde do Chile cai após informar 2.000 mortos a mais  ,saúde,2020-06-13,96.0,1,1,1,True,True,Real
